Date,Open,High,Low,Close,Volume
11/19/2025,"1,514.00","1,522.20","1,511.70","1,518.65","289,954"
11/18/2025,"1,523.65","1,527.80","1,510.05","1,519.65","155,896"
11/17/2025,"1,518.85","1,523.50","1,511.45","1,517.90","214,052"
11/14/2025,"1,506.80","1,520.70","1,506.00","1,518.85","283,160"
11/13/2025,"1,512.50","1,522.00","1,505.60","1,510.60","1,136,211"
11/12/2025,"1,500.00","1,524.00","1,500.00","1,511.75","854,483"
11/11/2025,"1,496.00","1,498.70","1,480.25","1,493.90","214,867"
11/10/2025,"1,473.15","1,500.00","1,473.15","1,489.25","408,088"
11/07/2025,"1,497.65","1,498.50","1,476.25","1,478.25","378,528"
11/06/2025,"1,483.10","1,501.95","1,477.55","1,495.75","1,178,418"
11/04/2025,"1,484.30","1,492.70","1,470.30","1,471.85","265,941"
11/03/2025,"1,486.00","1,495.00","1,479.15","1,484.35","548,207"
10/31/2025,"1,491.00","1,497.80","1,482.00","1,486.50","268,477"
10/30/2025,"1,500.00","1,503.25","1,484.00","1,488.45","772,640"
10/29/2025,"1,489.00","1,508.00","1,488.70","1,504.05","750,041"
10/28/2025,"1,480.15","1,492.10","1,478.00","1,487.15","1,341,632"
10/27/2025,"1,461.25","1,484.95","1,458.70","1,484.00","393,023"
10/24/2025,"1,450.00","1,459.95","1,441.10","1,451.45","331,591"
10/23/2025,"1,475.00","1,482.50","1,444.80","1,448.05","1,083,554"
10/21/2025,"1,466.05","1,473.95","1,460.20","1,465.15","303,848"
10/20/2025,"1,440.00","1,473.55","1,435.00","1,466.80","1,742,719"
10/17/2025,"1,400.00","1,423.45","1,399.50","1,416.95","970,166"
10/16/2025,"1,374.80","1,400.45","1,374.80","1,398.05","1,163,237"
10/15/2025,"1,380.15","1,383.60","1,372.70","1,374.75","631,457"
10/14/2025,"1,377.25","1,387.95","1,370.40","1,375.65","548,000"
10/13/2025,"1,376.00","1,377.65","1,367.85","1,375.10","574,423"
10/10/2025,"1,377.95","1,387.75","1,375.55","1,381.95","498,516"
10/09/2025,"1,371.20","1,380.15","1,369.50","1,377.95","970,820"
10/08/2025,"1,384.20","1,389.70","1,364.90","1,367.35","596,052"
10/07/2025,"1,376.10","1,395.75","1,375.95","1,384.95","865,638"
10/06/2025,"1,362.20","1,377.20","1,358.60","1,375.10","674,892"
10/03/2025,"1,363.00","1,371.00","1,357.20","1,363.45","869,282"
10/01/2025,"1,364.25","1,378.20","1,363.05","1,368.80","1,254,860"
09/30/2025,"1,374.65","1,376.05","1,362.90","1,363.80","1,226,892"
09/29/2025,"1,380.10","1,388.40","1,368.25","1,374.00","477,774"
09/26/2025,"1,372.40","1,382.40","1,365.55","1,377.75","792,106"
09/25/2025,"1,381.00","1,384.85","1,369.00","1,372.45","997,953"
09/24/2025,"1,389.00","1,396.00","1,380.20","1,383.75","604,734"
09/23/2025,"1,390.00","1,394.90","1,377.00","1,390.35","494,335"
09/22/2025,"1,402.70","1,410.45","1,388.00","1,390.40","705,990"
09/19/2025,"1,415.00","1,416.00","1,403.55","1,407.65","299,536"
09/18/2025,"1,420.00","1,421.80","1,410.70","1,414.55","697,229"
09/17/2025,"1,409.95","1,415.90","1,407.00","1,413.65","602,241"
09/16/2025,"1,402.05","1,407.70","1,398.00","1,405.15","845,958"
09/15/2025,"1,395.00","1,400.95","1,388.35","1,399.30","304,016"
09/12/2025,"1,383.50","1,396.10","1,380.80","1,394.80","505,338"
09/11/2025,"1,376.65","1,385.45","1,374.60","1,383.50","897,550"
09/10/2025,"1,382.20","1,388.65","1,373.70","1,376.80","429,951"
09/09/2025,"1,378.85","1,381.30","1,369.00","1,376.35","271,853"
09/08/2025,"1,384.00","1,385.90","1,372.45","1,378.85","249,868"
09/05/2025,"1,365.90","1,380.80","1,359.35","1,374.30","371,445"
09/04/2025,"1,370.00","1,374.45","1,356.60","1,359.20","838,446"
09/03/2025,"1,369.90","1,376.45","1,361.15","1,371.55","308,664"
09/02/2025,"1,357.75","1,384.65","1,355.00","1,366.30","466,421"
09/01/2025,"1,357.85","1,363.20","1,341.70","1,353.85","314,139"
08/29/2025,"1,384.20","1,403.00","1,350.30","1,357.05","870,452"
08/28/2025,"1,387.05","1,392.80","1,367.00","1,387.65","422,516"
08/26/2025,"1,409.95","1,409.95","1,381.40","1,385.30","1,696,762"
08/25/2025,"1,413.05","1,419.00","1,405.55","1,412.90","767,068"
08/22/2025,"1,423.60","1,423.60","1,408.00","1,409.30","334,227"
08/21/2025,"1,424.00","1,431.80","1,421.00","1,424.65","1,253,962"
08/20/2025,"1,414.95","1,424.60","1,410.20","1,412.45","429,887"
08/19/2025,"1,389.70","1,421.80","1,389.70","1,419.95","1,318,445"
08/18/2025,"1,388.30","1,395.00","1,377.15","1,380.95","422,415"
08/14/2025,"1,379.80","1,380.75","1,369.95","1,373.75","447,771"
08/13/2025,"1,389.80","1,391.70","1,377.70","1,382.65","369,167"
08/12/2025,"1,384.65","1,401.25","1,375.10","1,380.40","635,905"
08/11/2025,"1,370.00","1,388.20","1,361.20","1,386.80","901,134"
08/08/2025,"1,387.95","1,396.75","1,365.50","1,367.95","938,688"
08/07/2025,"1,385.10","1,393.90","1,366.25","1,390.85","642,904"
08/06/2025,"1,391.90","1,395.95","1,383.35","1,392.95","134,523"
08/05/2025,"1,411.00","1,411.00","1,388.10","1,391.60","854,494"
08/04/2025,"1,406.85","1,416.00","1,391.55","1,411.30","275,044"
08/01/2025,"1,387.95","1,405.25","1,384.30","1,393.60","421,543"
07/31/2025,"1,389.65","1,402.40","1,384.05","1,390.30","527,880"
07/30/2025,"1,417.95","1,423.25","1,401.35","1,409.90","317,685"
07/29/2025,"1,383.50","1,420.95","1,383.50","1,417.95","1,026,138"
07/28/2025,"1,392.10","1,407.10","1,385.00","1,387.30","534,884"
07/25/2025,"1,401.95","1,401.95","1,384.50","1,392.10","385,434"
07/24/2025,"1,420.00","1,422.05","1,396.45","1,402.65","332,776"
07/23/2025,"1,426.90","1,426.90","1,414.85","1,424.50","462,898"
07/22/2025,"1,433.20","1,433.20","1,410.45","1,412.80","1,522,399"
07/21/2025,"1,474.95","1,474.95","1,423.05","1,428.20","1,557,147"
07/18/2025,"1,482.10","1,485.05","1,469.00","1,476.85","357,136"
07/17/2025,"1,490.25","1,490.35","1,474.00","1,477.10","186,828"
07/16/2025,"1,472.00","1,490.90","1,472.00","1,485.75","130,747"
07/15/2025,"1,485.10","1,496.05","1,482.20","1,484.90","892,769"
07/14/2025,"1,494.45","1,499.95","1,479.35","1,484.60","2,020,839"
07/11/2025,"1,512.20","1,513.95","1,490.10","1,494.85","344,599"
07/10/2025,"1,519.05","1,524.85","1,507.40","1,517.20","458,958"
07/09/2025,"1,531.05","1,551.00","1,510.00","1,519.05","548,141"
07/08/2025,"1,535.00","1,545.60","1,530.25","1,538.80","1,461,338"
07/07/2025,"1,525.25","1,544.50","1,525.25","1,541.20","392,104"
07/04/2025,"1,521.00","1,529.50","1,517.25","1,527.40","487,883"
07/03/2025,"1,518.75","1,531.70","1,512.70","1,518.95","168,578"
07/02/2025,"1,529.90","1,530.00","1,508.95","1,518.25","284,423"
07/01/2025,"1,500.65","1,531.20","1,500.65","1,528.30","2,842,857"
06/30/2025,"1,516.05","1,524.95","1,496.40","1,500.65","439,730"
06/27/2025,"1,498.05","1,521.70","1,497.10","1,516.05","340,711"
06/26/2025,"1,469.95","1,498.70","1,465.10","1,495.20","366,253"
06/25/2025,"1,462.05","1,472.00","1,460.15","1,467.25","143,268"
06/24/2025,"1,466.75","1,475.00","1,443.30","1,450.05","3,665,221"
06/23/2025,"1,442.70","1,463.00","1,442.00","1,456.35","289,434"
06/20/2025,"1,430.00","1,470.00","1,428.10","1,464.65","690,290"
06/19/2025,"1,430.00","1,439.85","1,426.00","1,433.65","702,530"
06/18/2025,"1,430.00","1,443.00","1,425.55","1,429.85","277,714"
06/17/2025,"1,438.00","1,446.00","1,425.80","1,431.30","2,874,904"
